02000255030224601012022208921121127191960035000202       0420242                             2       2        00098900791202301500
02000256030312502092023108921140036131270040000582       0920261   150005A    1000000000000002       2        00103270721202301500
02000257040223503022022204911123122191960030000602       1220231   150005A    1000000000000002       2        00084216351202301500
02000258040313101082023104921123212174330030000012       0820241   300005A    1000000000000002       2        00103270721202301500
02000259040224301122022204911123124191960030000092       1220241   360005AB   0600400000000002       2        00084216351202301500
02000260040323302082023109521121124191960035000482       0820251   600005A    1000000000000002       2        00118815241202301500
02000261020313802052022110921122224121420050000402       0520241   300005A    1000000000000002       2        00095787071202301500
020002620202253020520212049211233241919600200004810520232      2                             100500002        00081179531202301500
020002630303237020920201049211500241919600250004810920222      2                             101000002        00069126282202301500
02000264030323402112021104521121424191960021000462       1120231   680005A    1000000000000002       2        00097525661202301500
02000265020224802082023204921123424191960020000262       0820251   630005A    1000000000000002       2        00081179531202301500
02000266040223601122022204921123536191960017000092       1220251   420005A    1000000000000002       2        00067060011202301500
02000267030714202062023410611123323193410030000572       0520251   300005A    1000000000000002       2        00088336961202301500
02000268060323501012019204521123259191960015000562       1220231   180005A    1000000000000002       2        00077954901202301500
02000269090322801052021204911123331191960017000282       1220231   150005A    1000000000000002       2        00109981381202301500
020002700403225011220182045211233241919600250002411220202      1   300005A    1000000000000002       2        00116417472202301500
02000271060323801122018404521121160191960038000572       1220231   900005A    1000000000000002       2        00082516811202301500
02000272070216501042023209831150012196960045000052       0420242                             2       2        00065196081202301500
02000273050323201082022210221140060122860060000132       0820271   600005A    1000000000000002       2        00116417471202301500
02000274020224102032023203921123324191960020000292       0320251   740005A    1000000000000002       2        00077015701202301500
02000275030322801122019110091121348193260090000452       1220231   300005A    1000000000000002       2        00111637741202301500
02000276020223202022022210091123388191960020000552       8888881   900005AC   0500000500000002       2        00111637741202301500
02000277020324401032019203921123588191960020000542       8888882                             2       2        00079128931202301500
020002780101132010320204046112100411720300310004110820232      2                             101000002        00097032251202301500
02000279020324302092023408091123236191960026000282       0920262                             2       2        00081309251202301500
02000279070323201092023204091123236191960022000002       0920262                             2       2        00114713801202301500
02000280020213802032022204721121336172290088000222       0320251  1550005AC   0800000200000002       2        00092138041202301500
02000281020224602022022208091123524191960022000592       0220242                             2       2        00093202031202301500
02000282020223301102020209091122136191960022000352       1020232                             2       2        00111969001202301500
02000283030312901022023104921121336193160060000072       0220261  1200005AB   0500500000000002       2        00097320171202301500
02000283070323301052019404091121488191960034000522       8888881   300005A    1000000000000002       2        00111969001202301500
02000284020225603082023204091123524191960022500572       0820251   300005A    1000000000000002       2        00094543291202301500
