,RREG,RHHNUM,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_2DGT,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_RETURN,RQ14_INDWORK,RQ15_2DGT,RQ16_2DGT,RQ17_AVEMINC,RQ18_NOMONTH,RQ19_RET,RQ20M_DTRET,RQ20Y_DTRET,RQ21_REASON,RQ22M_DTEXP,RQ22Y_DTEXP,RQ23_CASHREM,RQ24_CASHAMT,RQ25_MODE,RQ26_REMITTANCE_SPENT,RQ261P_CONSUM,RQ262P_INVEST,RQ263P_SAVINGS,RQ264P_GIFT,RQ265P_OTHERS,RQ27_RET6MOS,RQ28_CASHHOME,RQ29_INKIND,RQ30_KINDAMT,RSWGT,RP6M_IND,RSVYYR,RPRRCD
82,1,65,3,3,2,33,1,3,2020,1,10,52,1,1,213,48,1,93,25,0040000,42,2,  ,    , ,03,2024,1,   60000,5,A    ,100,000,000,000,000,2,       ,2,        ,435.1745,1,2023,2800
83,1,66,9,3,2,38,1,3,2020,4,04,91,1,1,211,60,1,91,96,0032000,42,2,  ,    , ,03,2025,1,   90000,5,A    ,100,000,000,000,000,2,       ,2,        ,403.2855,1,2023,2800
84,1,67,3,3,2,26,2,9,2023,3,09,92,1,1,211,24,1,91,96,0030000,15,2,  ,    , ,09,2025,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,426.2479,1,2023,2800
85,1,68,81,8,1,63,1,8,2023,2,02,61,6, ,500,88,2,  ,  ,       ,  ,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,400.4605, ,2023,2800
86,1,68,82,8,2,62,1,6,2023,2,02,92,6, ,500,88,2,  ,  ,       ,  ,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,400.4605, ,2023,2800
87,1,69,4,5,2,31,1,7,2022,2,10,52,1,1,211,24,1,91,96,0025000,14,2,  ,    , ,07,2024,1,   60000,5,ACE  ,030,000,050,000,020,2,       ,2,        ,456.3099,1,2023,2900
88,1,69,81,2,1,63,1,4,2020,2,02,61,6, ,400,88,1,91,96,0030000,41,2,  ,    , ,88,8888,1,  120000,5,ACE  ,030,000,040,000,030,2,       ,2,        ,448.1243, ,2023,2900
89,1,69,82,3,2,40,1,1,2021,2,08,09,6, ,500,88,1,75,10,0030000,32,2,  ,    , ,88,8888,1,   26000,5,AC   ,040,000,060,000,000,2,       ,2,        ,448.1243, ,2023,2900
90,1,70,4,2,2,56,1,8,2023,2,08,09,2,1,211,88,1,91,96,0020000,01,2,  ,    , ,88,8888,1,   15000,5,AC   ,040,000,060,000,000,2,       ,2,        ,365.3425,1,2023,2900
91,1,71,6,2,1,61,1,4,2019,2,02,61,1,1,400,60,1,91,96,0020000,53,2,  ,    , ,04,2024,1,  102000,5,ABC  ,030,020,050,000,000,2,       ,2,        ,337.0463,1,2023,2900
92,1,72,4,3,1,35,2,9,2023,1,10,14,1,1,233,24,1,52,56,0035000,24,2,  ,    , ,09,2025,1,   40000,5,ACE  ,030,000,040,000,030,1,0050000,2,        ,440.3404,1,2023,2900
93,1,73,81,4,1,72,1,12,2018,2,02,61,6, ,400,88,2,  ,  ,       ,  ,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,448.1243, ,2023,2900
94,1,74,3,2,2,54,2,9,2023,2,08,09,1,1,211,24,1,91,96,0020000,24,2,  ,    , ,09,2025,1,   60000,5,AC   ,040,000,060,000,000,2,       ,2,        ,441.0023,1,2023,2900
95,1,75,2,7,1,56,1,1,2023,3,10,33,1,1,400,36,1,91,96,0040000,08,2,  ,    , ,01,2026,1,  120000,5,ACD  ,030,000,050,020,000,2,       ,2,        ,337.0463,1,2023,2900
96,1,76,5,3,1,45,1,9,2019,2,10,35,1,1,400,60,1,51,96,0020000,48,2,  ,    , ,09,2024,1,   90000,1,A    ,100,000,000,000,000,2,       ,2,        ,568.5027,1,2023,2900
97,1,76,6,5,2,45,1,9,2019,2,10,09,1,1,400,60,1,91,96,0020000,48,2,  ,    , ,09,2024,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,547.6902,1,2023,2900
98,1,77,2,2,2,33,1,9,2023,2,04,09,1,1,232,24,1,91,96,0020000,00,2,  ,    , ,09,2025,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,566.701,1,2023,2900
99,1,78,3,5,2,35,2,12,2022,2,08,09,1,1,231,36,1,91,96,0020000,46,2,  ,    , ,12,2025,1,   54000,5,A    ,100,000,000,000,000,2,       ,2,        ,531.0406,1,2023,2900
100,1,79,2,2,2,41,1,11,2022,2,04,09,1,1,222,24,1,91,96,0020000,10,2,  ,    , ,11,2024,1,   95000,5,AC   ,050,000,050,000,000,2,       ,1,00011500,531.0406,1,2023,2900
101,1,80,4,3,2,34,1,7,2019,4,04,09,1,1,234,60,1,91,96,0020000,50,2,  ,    , ,07,2024,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,566.701,1,2023,2900
102,1,81,2,2,2,30,2,1,2023,2,04,91,1,1,211,24,1,91,96,0020000,08,2,  ,    , ,01,2025,1,   60000,5,A    ,100,000,000,000,000,2,       ,2,        ,480.0681,1,2023,2900
103,1,82,3,5,1,33,1,2,2023,2,04,91,1,1,213,36,1,52,13,0044280,07,2,  ,    , ,02,2026,1,   60000,5,A    ,100,000,000,000,000,2,       ,2,        ,488.891,1,2023,2900
